Ledger date,Value date,User,Record,Event,Ope,Description,Debit,Credit
2019-01-15,2019-01-15,BNSE,OD017296,745619,164,Failed MTN Pull 8-9 Jan19,"1,000",
2019-01-15,2019-01-15,AIF,VS110470120,470120,674,MTN RWANDACELL LTD,"1,000",
2019-01-23,2019-01-23,AUTO,SB069509362,509362,969,WITHDRWAL CHARGES Ref No: 5093,200,
2019-01-23,2019-01-23,AUTO,,509362,660,BKAD0085 Auth:000014 CUSTOMER,"2,000",
2019-01-24,2019-01-24,AIF,VS110488991,488991,674,MTN RWANDACELL LTD,"1,400",
2019-01-31,2019-01-31,CUWE,VM001872115,448515,092,SALARY/JANV/2019,,"100,000"
2019-02-01,2019-02-01,AIF,VS110512030,512030,674,MTN RWANDACELL LTD,"5,000",
2019-02-04,2019-02-04,AUTO,SB069565732,565732,969,WITHDRWAL CHARGES Ref No: 5657,200,
2019-02-04,2019-02-04,AUTO,SB069572816,572816,969,WITHDRWAL CHARGES Ref No: 5728,200,
2019-02-04,2019-02-04,AIF,VS110517923,517923,674,MTN RWANDACELL LTD,"1,000",
2019-02-04,2019-02-04,AUTO,,565732,660,BKAD0077 Auth:000015 CUSTOMER,"30,000",
2019-02-04,2019-02-04,AIF,VS110515734,515734,674,MTN RWANDACELL LTD,"4,000",
2019-02-04,2019-02-04,AUTO,,572816,660,BKAD0002 Auth:000016 CUSTOMER,"10,000",
2019-02-05,2019-02-05,AIF,VS110525666,525666,674,MTN RWANDACELL LTD,"1,000",
2019-02-06,2019-02-06,AIF,VS110527342,527342,674,MTN RWANDACELL LTD,"8,000",
2019-02-08,2019-02-08,AIF,VS110534464,534464,674,MTN RWANDACELL LTD,"1,000",
2019-02-11,2019-02-11,AIF,VS110000607,000607,674,MTN RWANDACELL LTD,"10,000",
2019-02-11,2019-02-11,AUTO,,605854,660,BKAD0077 Auth:000017 CUSTOMER,"5,000",
2019-02-11,2019-02-11,AUTO,SB069605854,605854,969,WITHDRWAL CHARGES Ref No: 6058,200,
2019-02-18,2019-02-18,AUTO,SB069634793,634793,969,WITHDRWAL CHARGES Ref No: 6347,200,
2019-02-18,2019-02-18,AIF,VS110022425,022425,674,MTN RWANDACELL LTD,"1,000",
2019-02-18,2019-02-18,AUTO,,634793,660,BKAD0085 Auth:000018 CUSTOMER,"18,000",
2019-02-19,2019-02-19,AIF,VS110024694,024694,674,MTN RWANDACELL LTD,"3,000",
2019-02-20,2019-02-20,BNSE,OD023034,791331,164,Failed Pull 19.02.19,,"3,000"
2019-02-20,2019-02-20,AIF,VS110026183,026183,674,MTN RWANDACELL LTD,"2,200",
2019-02-22,2019-02-22,AIF,VS110031787,031787,674,MTN RWANDACELL LTD,"3,000",
2019-02-28,2019-03-01,AUTO,AG417375,417375,989,FRAIS FIXE AU 28/02/19,200,
2019-03-01,2019-03-01,CUWE,VM001880297,521392,092,SALARY FEB 2019,,"100,000"
2019-03-04,2019-03-04,AIF,VS110051156,051156,674,MTN RWANDACELL LTD,"3,000",
2019-03-04,2019-03-04,AIF,VS110055077,055077,674,MTN RWANDACELL LTD,"1,000",
2019-03-04,2019-03-04,AIF,VS110054809,054809,674,MTN RWANDACELL LTD,"5,000",
2019-03-04,2019-03-04,AIF,VS110058127,058127,674,MTN RWANDACELL LTD,"25,000",
2019-03-05,2019-03-05,AIF,VS110062515,062515,674,MTN RWANDACELL LTD,"1,000",
2019-03-05,2019-03-05,AUTO,,161797,661,37F59992 Auth:000019 CUSTOMER,"4,566",
2019-03-07,2019-03-07,AUTO,SB069732228,732228,969,WITHDRWAL CHARGES Ref No: 7322,200,
2019-03-07,2019-03-07,AUTO,,732228,660,BKAD0003 Auth:000020 CUSTOMER,"50,000",
2019-03-07,2019-03-07,AIF,VS110066397,066397,674,MTN RWANDACELL LTD,"1,000",
2019-03-11,2019-03-11,AIF,VS110075578,075578,674,MTN RWANDACELL LTD,"2,000",
2019-03-12,2019-03-12,AIF,VS110082351,082351,674,MTN RWANDACELL LTD,"1,000",
