,Application ID: ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,TO BE FILLED BY THE APPLICANT,,,
55,OPERATIONAL FUNCTIONS,"Label COPY, TRAINING, PROFORMA has to be placed on the ticket. Moreover, in such a case the following text after the tax calculation and at the bottom of the ticket to be printed: ""THIS IS NOT AN OFFICIAL RECEIPT”",,,,,,,,
56,OPERATIONAL FUNCTIONS,"The Refund receipt has always to be printed with a negative, (-) minus sign in front of each amount",,,,,,,,
57,NORMAL REFUND,The Refund receipt must have the reference to which normal receipt number it is made,,,,,,,,
58,VSDC Initialization API,"CIS must able to Consume ""Initialization API"" using parameters provided (Tin, Bhf_id and Device serial number) as described in RRA VSDC API technical specification document",,,,,,,,
59,VSDC codes API,"CIS must able to Consume  Codes api which contains all the codes to use for entire CIS integration, CIS should argonize all those codes based on their categories as described in RRA VSDC API technical specification document",,,,,,,,
60,VSDC codes API,"""item codes"" must be created automatically based on the choice made during creation of item/service as described in RRA VSDC API technical specification document",,,,,,,,
61,VSDC item Classification API /UNSPS Code,"CIS must consume Item class API/UNSPSC to use for  ""Item Classification code"" as described  in RRA VSDC API technical specification document",,,,,,,,
62,VSDC Customer API,CIS must consume Customer API as described  in RRA VSDC API technical specification document,,,,,,,,
63,VSDC SaveItem API,CIS must able to save all items/services to RRA as described  in RRA VSDC API technical specification document,,,,,,,,
64,VSDC Select Item API,CIS must able to select items/services from RRA as described  in RRA VSDC API technical specification document,,,,,,,,
65,VSDC Notice API,CIS must be able to receive notices from RRA Notice API as described  in RRA VSDC API technical specification document,,,,,,,,
66,VSDC Import Items API,CIS must able to receive importation details as described  in RRA VSDC API technical specification document,,,,,,,,
67,"VSDC Import Items API 
(validation on request date)","CIS must able to manage importation ""Request date"" by allowing only  above Date compared to previous request ",,,,,,,,
68,"VSDC  Imported Item
 status update API",CIS must able to update importations status once approved or rejected as described  in RRA VSDC API technical specification document,,,,,,,,
69,"VSDS Sales Transaction 
Save API",CIS must able to save sales transactions as described  in RRA VSDC API technical specification document,,,,,,,,
70,"VSDC Select Purchase-Sales 
Transaction API",CIS must be able to receive purchases as described  in RRA VSDC API technical specification document,   ,,,,,,,
71,VSDC Purchase-Transaction-Save API,CIS must be able to update purchases received as described  in RRA VSDC API technical specification document,,,,,,,,
72,VSDC  Stock In/Out-Save API,CIS must send stock IN and Stock OUT to RRA  for each item received or sold as described  in RRA VSDC API technical specification document,,,,,,,,
73,VSDC Save-StockMaster API,CIS must send the stock remains after receiving or selling  any item as described  in RRA VSDC API technical specification document,,,,,,,,
74,VSDC importation/purchase/stock,"Stock must be affected and sychronized at real time for  approved importations, received purchases and sales level",,,,,,,,
75,COMMUNICATION PROTOCOL,The CIS shall be able to display and handle errors received from VSDC,,,,,,,,
